epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
45,319.388,3.9296,5.22854,2.88352,0.00026,0.01515,0.00112,0.00022,4.07473,4.51096,3.08031,0.00111776,0.00111776,0.00111776
46,325.474,3.9292,5.09087,2.79334,0.00095,0.01515,0.00092,0.00018,4.06555,4.54041,3.04942,0.00111069,0.00111069,0.00111069
47,330.637,3.76592,5.04889,2.71867,0.00014,0.01515,8e-05,2e-05,4.11698,4.6698,3.0418,0.00110362,0.00110362,0.00110362
48,337.496,3.86433,5.14025,2.86099,6e-05,0.01515,3e-05,1e-05,4.24403,6.22755,3.0132,0.00109654,0.00109654,0.00109654
49,344.688,3.8547,5.02551,2.77138,0.00017,0.0303,0.0001,1e-05,4.31539,5.03066,3.03165,0.00108947,0.00108947,0.00108947
50,351.849,3.90547,5.01341,2.7963,0.00019,0.0303,0.00011,1e-05,4.28998,4.5605,3.04074,0.0010824,0.0010824,0.0010824
51,358.994,3.77159,5.08916,2.69315,0.00018,0.0303,0.00013,1e-05,4.09194,4.54548,2.98666,0.00107532,0.00107532,0.00107532
52,364.876,3.78255,5.38196,2.69017,0.00014,0.01515,8e-05,1e-05,4.04024,4.72555,2.99732,0.00106825,0.00106825,0.00106825
53,370.027,3.77134,4.97975,2.75441,0.00014,0.01515,8e-05,1e-05,4.08259,4.82008,3.01939,0.00106118,0.00106118,0.00106118
54,376.421,3.71527,5.14822,2.75604,0.00014,0.01515,8e-05,1e-05,4.20117,4.80529,3.21563,0.0010541,0.0010541,0.0010541
55,383.685,3.8065,5.12062,2.83602,0.00032,0.01515,0.00019,2e-05,4.14178,4.84207,3.27924,0.00104703,0.00104703,0.00104703
56,390.879,3.63462,4.94594,2.75606,0.00038,0.01515,0.00023,5e-05,4.0837,4.79101,3.10142,0.00103995,0.00103995,0.00103995
57,397.785,3.87163,5.01561,2.77542,0.00042,0.04545,0.00051,8e-05,3.94031,4.44094,3.05874,0.00103288,0.00103288,0.00103288
58,404.879,3.69806,4.99289,2.70999,0.00039,0.06061,0.00043,7e-05,3.85353,4.36391,3.02808,0.00102581,0.00102581,0.00102581
59,410.685,3.7248,4.98184,2.78467,0.00084,0.04545,0.00053,8e-05,3.8432,4.3766,3.0183,0.00101873,0.00101873,0.00101873
60,415.777,3.53125,4.94793,2.75468,0.00069,0.0303,0.00044,4e-05,3.86711,4.42317,3.02448,0.00101166,0.00101166,0.00101166
