epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
184,1239.68,3.03209,4.55827,2.44941,0.00188,0.16504,0.00164,0.0004,3.24973,4.17121,2.7479,0.00013454,0.00013454,0.00013454
185,1246.29,3.06468,4.70002,2.57681,0.00122,0.14421,0.00112,0.00036,3.23005,4.15899,2.74002,0.000127467,0.000127467,0.000127467
186,1252.48,3.12177,4.76601,2.59056,0.00111,0.14421,0.00098,0.00031,3.24634,4.14359,2.75577,0.000120393,0.000120393,0.000120393
187,1257.79,3.11012,4.43331,2.35966,0.00131,0.15936,0.00152,0.00045,3.27117,4.12434,2.76697,0.00011332,0.00011332,0.00011332
188,1264.53,3.19512,4.36157,2.52861,0.00122,0.12906,0.00161,0.00055,3.24696,4.11721,2.75033,0.000106246,0.000106246,0.000106246
189,1271.71,3.15966,4.66446,2.51929,0.00137,0.12906,0.0018,0.00054,3.23484,4.12579,2.73468,9.91726e-05,9.91726e-05,9.91726e-05
190,1278.76,2.97135,4.40626,2.35365,0.0017,0.12906,0.00156,0.00058,3.24699,4.14158,2.73626,9.20991e-05,9.20991e-05,9.20991e-05
191,1286.82,3.14882,4.65604,2.55882,0.00177,0.11391,0.00285,0.00082,3.19427,4.17155,2.73379,8.50255e-05,8.50255e-05,8.50255e-05
192,1293.23,3.15606,4.66619,2.56175,0.00198,0.12906,0.00286,0.00097,3.30336,4.24718,2.80453,7.7952e-05,7.7952e-05,7.7952e-05
193,1298.75,3.20686,4.60768,2.65539,0.00189,0.12906,0.00294,0.00091,3.31968,4.23851,2.81455,7.08784e-05,7.08784e-05,7.08784e-05
194,1305.3,3.12662,4.5751,2.57956,0.00172,0.12906,0.00266,0.00088,3.27893,4.23983,2.80576,6.38049e-05,6.38049e-05,6.38049e-05
195,1312.65,3.10893,4.60911,2.5708,0.0017,0.12906,0.00235,0.00082,3.2927,4.23484,2.80801,5.67313e-05,5.67313e-05,5.67313e-05
196,1319.83,3.10091,4.92161,2.51468,0.00157,0.12906,0.00244,0.0008,3.25802,4.22088,2.78546,4.96578e-05,4.96578e-05,4.96578e-05
197,1327.29,3.06274,4.53491,2.5577,0.00157,0.12906,0.00237,0.0008,3.26287,4.21087,2.78115,4.25842e-05,4.25842e-05,4.25842e-05
198,1334.16,3.14731,4.65958,2.50925,0.00186,0.14989,0.00273,0.00084,3.24739,4.20514,2.75296,3.55107e-05,3.55107e-05,3.55107e-05
199,1339.9,3.03035,4.36711,2.50009,0.00149,0.12906,0.00259,0.00082,3.25503,4.20856,2.75198,2.84371e-05,2.84371e-05,2.84371e-05
200,1346.01,3.08672,4.51351,2.47585,0.00205,0.14989,0.00283,0.00085,3.25106,4.22221,2.75868,2.13636e-05,2.13636e-05,2.13636e-05
